sku,categories,name,supplier,supplier price,bank exchange rate,supplier price ron,local c.,thenx c,vat,all cost price,last all cost,margin whole, margin retail,whole price,retail price,last retail price & date,smart price,cheap comp
12573,LCD,"Nokia 1202, 1203, 1280",CANDYP LTD CO,RON 2.72,0.0,2.72,1.0,2.0,1.19,6.8,0.0,100.0,0.0,107.0,100.0 - 2021-01-18,4.95,
11729,Mufe incarcare,"Nokia N85, C6-01, C5-03",CANDYP LTD CO,RON 0.54,0.0,0.54,1.0,3.0,1.19,5.4,0.0,150.0,0.0,155.0,150.0 - 2021-01-18,,
12583,Flex Cable,"Nokia 7610s, Flex Slide",CANDYP LTD CO,RON 7.68,0.0,7.68,1.0,2.0,1.19,12.71,0.0,100.0,0.0,113.0,100.0 - 2021-01-18,4.95,
12733,Capac Baterie,"Nokia 6700c, Matt Black",Direct,RON 5.0,0.0,5.0,1.0,2.0,1.19,9.52,0.0,1.0,0.0,11.0,1.0 - 2021-01-18,4.95,
12750,Capac Baterie,"Nokia 6300, Gold",PHONETASTIK,RON 5.0,0.0,5.0,1.0,2.0,1.19,9.52,0.0,14.0,0.0,24.0,14.0 - 2021-01-18,4.95,
13339,Geam Sticla,"Nokia 5730x, Cairo Black",PHONETASTIK,RON 5.0,0.0,5.0,1.0,2.0,1.19,9.52,0.0,40.0,0.0,50.0,40.0 - 2021-01-18,4.95,
13958,Capac Baterie,"Nokia 1800, Warm Silver",Direct,RON 5.0,0.0,5.0,1.0,2.0,1.19,9.52,0.0,1.0,0.0,11.0,1.0 - 2021-01-18,4.95,
13358,Casti,"Nokia 1202, 2330, 2730, 2720",CANDYP LTD CO,RON 1.03,0.0,1.03,1.0,1.0,1.19,3.61,0.0,150.0,0.0,154.0,150.0 - 2021-01-18,,
13840,Acumulatori,"Nokia BL-5B, 890 mAh, OEM",PHONETASTIK,RON 14.12,0.0,14.12,1.0,2.0,1.19,20.38,0.0,12.0,0.0,32.0,12.0 - 2021-01-18,,
26487,Touchscreen,"Alcatel One Touch Pop, OT-5020",CANDYP LTD CO,RON 13.0,0.0,13.0,1.0,2.0,1.19,19.04,0.0,120.0,0.0,139.0,120.0 - 2021-01-18,9.95,
7363,Flex Incarcare,"iPhone 5, Black",CANDYP LTD CO,RON 2.38,0.0,2.38,1.0,2.0,1.19,6.4,0.0,100.0,0.0,106.0,100.0 - 2021-01-18,4.95,
15447,Drivere Tastatura,"iPhone 3G, 3GS",PHONETASTIK,RON 5.0,0.0,5.0,1.0,2.0,1.19,9.52,0.0,40.0,0.0,50.0,40.0 - 2021-01-18,4.95,
15740,Mijloace,"Nokia C5, Warm Grey",Direct,RON 27.66,0.0,27.66,1.0,2.0,1.19,36.48,0.0,1.0,0.0,37.0,1.0 - 2021-01-18,4.95,
15550,Flex Incarcare,"iPhone 4s, Black",CANDYP LTD CO,RON 4.42,0.0,4.42,1.0,2.0,1.19,8.83,0.0,100.0,0.0,109.0,100.0 - 2021-01-18,,
15818,Flex Cable,Sony Xperia X10,CANDYP LTD CO,RON 4.8,0.0,4.8,1.0,2.0,1.19,9.28,0.0,100.0,0.0,109.0,100.0 - 2021-01-18,4.95,
15905,Mufe incarcare,"Samsung B2100, B2700, B3410, B5702, B5722, C3060",Direct,RON 6.58,0.0,6.58,1.0,2.0,1.19,11.4,0.0,1.0,0.0,12.0,1.0 - 2021-01-18,1.95,
15952,LCD,"Nokia 7230, 3208",CANDYP LTD CO,RON 5.31,0.0,5.31,1.0,2.0,1.19,9.89,0.0,100.0,0.0,110.0,100.0 - 2021-01-18,4.95,
16076,Flex Cable,"Nokia 6110n, Flex Taste",CANDYP LTD CO,RON 5.0,0.0,5.0,1.0,2.0,1.19,9.52,0.0,100.0,0.0,110.0,100.0 - 2021-01-18,4.95,
16015,Surubelnite si Instrumente,"Magnetizator, Demagnetizator",CANDYP LTD CO,RON 3.68,0.0,3.68,1.0,2.0,1.19,7.95,0.0,100.0,0.0,108.0,100.0 - 2021-01-18,,
16087,Flex Microfon,iPhone 4G,CANDYP LTD CO,RON 6.0,0.0,6.0,1.0,2.0,1.19,10.71,0.0,100.0,0.0,111.0,100.0 - 2021-01-18,4.95,
16103,LCD,"Nokia Lumia 800, Lumia 505 + Touch",CANDYP LTD CO,RON 22.42,0.0,22.42,1.0,2.0,1.19,30.25,0.0,100.0,0.0,130.0,100.0 - 2021-01-18,9.95,
16468,Flex Cable,"LG GU285, GU280",CANDYP LTD CO,RON 5.1,0.0,5.1,1.0,2.0,1.19,9.64,0.0,100.0,0.0,110.0,100.0 - 2021-01-18,4.95,
16124,Consumabile,"Banda Dublu Adeziva 3M, 3mm, White",CANDYP LTD CO,RON 3.38,0.0,3.38,1.0,2.0,1.19,7.59,0.0,120.0,0.0,128.0,120.0 - 2021-01-18,,
16357,Acumulatori,"Nokia BL-5CB, OEM",PHONETASTIK,RON 15.11,0.0,15.11,1.0,2.0,1.19,21.55,0.0,12.0,0.0,34.0,12.0 - 2021-01-18,,
16362,Acumulatori,"Nokia BL-4J, OEM",PHONETASTIK,RON 16.95,0.0,16.95,1.0,2.0,1.19,23.74,0.0,12.0,0.0,36.0,12.0 - 2021-01-18,,
16833,LCD,Samsung C6112,CANDYP LTD CO,RON 8.24,0.0,8.24,1.0,2.0,1.19,13.37,0.0,1.0,0.0,14.0,1.0 - 2021-01-18,4.95,
16520,LCD,"Nokia E63, E71, E72, E73, AM+",CANDYP LTD CO,RON 4.05,0.0,4.05,1.0,2.0,1.19,8.38,0.0,100.0,0.0,108.0,100.0 - 2021-01-18,,
16896,Sonerii,"iPhone 4G, 4s",CANDYP LTD CO,RON 0.61,0.0,0.61,1.0,2.0,1.19,4.3,0.0,150.0,0.0,154.0,150.0 - 2021-01-18,4.95,
16911,Flex Cable,"Samsung S5200, OEM",Direct,RON 5.0,0.0,5.0,1.0,2.0,1.19,9.52,0.0,1.0,0.0,11.0,1.0 - 2021-01-18,4.95,
17149,Capac Baterie,Samsung C5212,Direct,RON 9.57,0.0,9.57,1.0,2.0,1.19,14.96,0.0,1.0,0.0,16.0,1.0 - 2021-01-18,9.95,
17209,Flex Cable,"Samsung C3222, Flex Joystick",CANDYP LTD CO,RON 14.64,0.0,14.64,1.0,2.0,1.19,20.99,0.0,100.0,0.0,121.0,100.0 - 2021-01-18,9.95,
17211,Touchscreen,"BlackBerry Torch 9800, 9810, Black",CANDYP LTD CO,RON 7.32,0.0,7.32,1.0,2.0,1.19,12.28,0.0,120.0,0.0,132.0,120.0 - 2021-01-18,4.95,
17260,Flex Cable,"Nokia C5, Flex Taste",CANDYP LTD CO,RON 3.54,0.0,3.54,1.0,2.0,1.19,7.78,0.0,100.0,0.0,108.0,100.0 - 2021-01-18,4.95,
38784,Butoane (Key),"Allview Smart Xceed, ReSET, OEM",ALLVIEW,RON 7.94,0.0,7.94,1.0,2.0,1.19,13.02,0.0,0.0,0.0,0.0,0.0 - 2021-01-18,1.95,
17370,Flex Cable,"Nokia C3-01, Flex Taste",CANDYP LTD CO,RON 9.51,0.0,9.51,1.0,2.0,1.19,14.89,0.0,100.0,0.0,115.0,100.0 - 2021-01-18,,
17535,LCD,"Nokia 1616, 1661, 1662, 1800, 5030x, C1-00",CANDYP LTD CO,RON 4.02,0.0,4.02,1.0,2.0,1.19,8.36,0.0,100.0,0.0,108.0,100.0 - 2021-01-18,,
